# Cloud and datacenter IP ranges used for local bot-detection signals.
# Generated 2026-07-18 from https://github.com/rezmoss/cloud-provider-ip-addresses (CC0-1.0).
# Format: hexadecimal start address, a tab, then hexadecimal end address.
0fe6ad00	0fe6aeff
0fe6b000	0fe6b317
0fe6b400	0fe6beff
0fe6c000	0fe6c70f
0fe6c800	0fe6ca03
0fe6cb00	0fe6cc7f
0fe6cd00	0fe6d80d
0fe6d900	0fe6df0f
0fe6f000	0fe6fb07
0fe6fc00	0fe6fe04
0fe6ff00	0fe6ffff
0fe80000	0fe9ffff
0feb0000	0fedffff
0ff00000	0ff1ffff
0ff80800	0ff80bff
0ff81000	0ff82bff
0ff83000	0ff847ff
0ff85000	0ff85fff
0ff86800	0ff868ff
0ff86a00	0ff86bff
0ff87000	0ff88aff
0ff88c00	0ff8a2ff
0ff8a400	0ff8a503
0ff8a800	0ff8bfff
0ff90000	0ff9ffff
0ffb0000	0ffb000f
0ffb0014	0ffb001d
0ffb0021	0ffb0022
0ffb002f	0ffb0030
0ffc0000	0ffeffff
10040000	1004ffff
1005c600	1005c6ff
10060000	1006ffff
100b0000	100c15ff
100c1800	100c2cff
100c3000	100c43ff
100c4700	100c56ff
100c5800	100c7bff
100f0000	100f1bff
100f2000	100f3bff
100f9c00	1010ffff
10120000	1013ffff
10160000	101fffff
10300000	10393fff
103a0000	10407fff
10410000	1043ffff
10470000	10477fff
104c0000	104fffff
106a0000	106bffff
10700000	1071ffff
108c0000	108dffff
10900000	109fffff
10a20000	10a5ffff
10a80000	10abffff
10ae0000	10b6ffff
10b80000	10bdffff
10c00000	10c7ffff
10ce0000	10d1ffff
10d60000	10d60bff
10d61000	10d63bff
10d96000	10d960ff
12220000	12221fff
12223000	12223fff
12224800	12224fff
1222e800	1222efff
1222f400	1222f7ff
1222fc00	1222ffff
123c0000	123dffff
12400000	1244ffff
12580000	1258bfff
12590000	12593fff
12598000	1259bfff
12600000	1266ffff
12740000	1277ffff
12820000	1282ffff
12840000	1288ffff
128a0000	1291ffff
12990000	12adffff
12af0000	12b9ffff
12bc0000	12efffff
12f40000	12f6ffff
12fc0000	12feffff
14000000	1413ffff
14142000	141442f5
14144400	14144449
14144800	141448e3
14144c00	14144cb3
14144cb8	1414500d
14145010	1414501b
1414501e	14145025
14145028	141450d5
141450dc	1414514b
14145400	141455df
14145800	1414594d
14145c00	14145c31
14145c38	14145c73
14145c7a	14145d7d
14145d84	14145d97
14145d9c	14145dcd
14145dd4	14145ff3
14146000	141461f9
14146400	1414663b
14146644	141468ef
14146900	14146a7f
14146c00	14146dad
14146db6	14146e9b
14146ea2	14147079
14147400	14147497
14147800	141479c3
14147c00	14147e7d
14148000	141491ff
1414be00	141dffff
141f0000	141fffff
14210000	1421ffff
14240000	14263aff
14264000	1426bfff
1426c400	1426cbff
1426d000	1426d3ff
14270000	142aa1ff
142aa800	142d87ff
142d9000	142e7fff
142e9000	1430d7ff
1430e000	1434505f
14345800	1435200f
14352800	145f93ff
145fc000	145fcdff
145fd000	145fd0ff
145fe000	145fe1ff
145ff000	145ff1ff
145ff800	145ffbff
145fff00	145fff07
14600000	146f7fff
146f8800	146f8fff
14700000	147fffff
14870000	1487f07f
1487f200	148805ff
14880700	1488077f
14888000	1488817f
148f0000	148fddff
14960000	14987fff
14990000	1499ffff
149d0000	149dffff
14a00000	14afffff
14b80000	14bbc7ff
14bbe000	14c383ff
14c38800	14c9ddff
14c9df00	14c9e7ff
14c9f000	14c9f0ff
14ca0000	14cafdff
14cb0000	14d8e7ff
14d90000	14d923ff
14d92800	14d95fff
14d98000	14e79fff
14e7c000	14f05fff
14f08000	14ffffff
17130000	171327ff
17132900	171329ff
17132c00	17132fff
17133400	171335ff
17133800	17139bff
17139d00	17139dff
1713a000	1713cbff
1713ce00	1713ceff
1713d000	1713e7ff
1713ec00	1713efff
1713f400	1717ffff
171a2000	171a20ff
171a2c00	171a2fff
171a3500	171a35ff
171a3d00	171a3dff
171b0e00	171b0eff
171b1700	171b17ff
171b7f00	171b7fff
171bed00	171bedff
171bf300	171bf3ff
171bfd00	171bfdff
17500000	175233ff
17523800	175277ff
17527c00	1752e7ff
1752ec00	17533fff
17534c00	17536fff
17538000	1753a7ff
1753b000	1753bbff
1753c000	1753cfff
17580000	17587fff
175b0000	175b1fff
175c1000	175c1fff
175ce000	175cffff
17600000	1760ffff
17613000	1761708f
176170a0	176170ff
17617400	1761ffff
17622000	176238ff
17623940	1762397f
17624000	176527ff
17653000	176557ff
17657000	1766ffff
17674000	176740ff
17678400	176784c7
176784d0	176784df
176784f0	176784ff
176785e0	1767867f
176786c0	1767873f
17678780	176787df
17678820	1767884f
17678860	1767887f
176788e0	1767893f
17678960	17678a2f
17678a60	17678a9f
17678ae0	17678aff
17678b60	17678b7f
17678b82	17678b83
17678ba2	17678ba3
17678cc0	17678cff
17678d60	17678d7f
17678dc0	17678dff
17678e20	17678e3f
17679c01	17679c03
17679c21	17679c23
17679c41	17679c43
17679c60	17679cdf
17679d01	17679d03
17679d40	17679daf
17679dc0	17679dff
1767c601	1767c603
1767c621	1767c623
1767c680	1767c6ff
1767d400	1767d5ff
17680000	176920ff
17692400	17692fff
17693800	1769bfff
176a0000	176a27ff
176a2c00	176a67ff
176a7800	176a7fff
176aa000	176aafff
176ab400	176c67ff
176c6c00	176c7bff
176c8000	176cc7ff
176ccc00	176ccfff
176ce000	176cffff
176e0000	176effff
176f0c00	176f0fff
176ff900	176ff9ff
176ffc00	176fffff
1789c800	1789c8ff
1797b800	1797b8ff
179c1800	179c19ff
17a00000	17a000ff
17e4c400	17e4c6ff
17e4d400	17e4d6ff
17e4db00	17e4dfff
17e4e400	17e4e7ff
17e4f400	17e4f4ff
17e4f800	17e4fbff
17e60e00	17e60eff
17e65d00	17e65dff
17eac000	17eaffff
17ec3000	17ec3fff
17ee8000	17ef1fff
17fb8000	17fb9fff
17fd0000	17fe1dff
17fe2000	17fe27ff
17fe7800	17fe7fff
186e0000	186e09ff
186e1000	186e3fff
186e8000	186effff
18904000	189047ff
18904a00	18907fff
18c74000	18c77fff
1b000000	1b0003ff
1b00e800	1b00e8ff
1b6a0000	1b6a7fff
1bff0000	1bff3fff
1f063e00	1f063eff
1f185100	1f1851ff
1f292500	1f2925ff
1f382400	1f3824ff
1f387400	1f3874ff
1f387f00	1f387fff
1f388a00	1f388aff
1f38db00	1f38dbff
1f392b00	1f392bff
1f394c00	1f394cff
1f395300	1f3954ff
1f395800	1f3958ff
1f395b00	1f395bff
1f39a100	1f39a1ff
1f39c000	1f39c1ff
1f39c300	1f39c3ff
1f39c700	1f39c7ff
1f39e800	1f39ebff
1f3a0900	1f3a09ff
1f3a1200	1f3a12ff
1f3a1600	1f3a18ff
1f3a1c00	1f3a1cff
1f3a2000	1f3a20ff
1f3a5800	1f3a58ff
1f3a9100	1f3a91ff
1f3a9400	1f3a95ff
1f3a9700	1f3a97ff
1f3b0a00	1f3b0aff
1f3b0f00	1f3b0fff
1f3b1300	1f3b16ff
1f3b1900	1f3b19ff
1f3b1b00	1f3b1cff
1f3b2100	1f3b21ff
1f3b4400	1f3b44ff
1f63cd00	1f63cdff
1fb8cf04	1fb8cf0c
1fba2600	1fba27ff
1fbaa800	1fbaa9ff
1fdcdc00	1fdcdfff
1fdceb00	1fdcecff
1fdcf700	1fdcf7ff
1fdcfc00	1fdcfcff
1fde8000	1fdebfff
20b80000	20cfffff
20e80000	20e8ffff
20ec0000	20edffff
20f00000	20f1ffff
22000000	2200e3ff
2200f000	22013fff
22018000	22023fff
22024c00	22024dff
22026000	22026fff
22028000	2202ffff
22032000	22032fff
22034c00	22036fff
22041000	220413ff
22041800	220463ff
22046600	22046fff
22048000	2204c0ff
22060000	220d3fff
220d4400	220d4fff
220d7000	220edfff
220f0000	2222bfff
2222d800	2222dfff
22230000	222affff
222c0000	22327fff
22329000	2233ffff
22348000	223fffff
22402000	225fffff
22604000	2261ffff
22624000	226287ff
22648000	2264ffff
22651200	226512ff
22651400	22651bff
22652000	2266ffff
22681b00	22681bff
22683100	226834ff
22683800	226cffff
226e8000	2271ffff
22740000	227407ff
22744000	2276cfff
2276f000	2276ffff
22780000	227c3fff
227c7000	227dffff
227e4000	227edfff
227f0000	227f7fff
227f9c00	227fafff
227fb100	227fb4ff
227fb800	227fbfff
22800400	228007ff
22802000	228025ff
22802a00	228031ff
22803400	228037ff
22803a00	2280bfff
2280d000	2280efff
22810000	228effff
228f4000	228f47ff
228f8000	228fffff
2290ac00	229845ff
22984800	229851ff
22985400	229857ff
22986000	229862ff
22986400	22987fff
22991000	229921ff
22992600	229926ff
22992800	229937ff
22993a00	22993bff
22993e00	22993fff
22998000	2299e1ff
2299e600	2299e6ff
2299e800	2299f7ff
2299fa00	229d09ff
229d0c00	229d55ff
229d5700	229d77ff
229d7900	229d7b7f
229d7c00	229d89ff
229d8c00	229dd5ff
229dd700	229df7ff
229df900	229dffff
229e0800	229ef7ff
229f0000	22a6ffff
22a80000	22b0ffff
22b12000	22b125ff
22b12800	22b137ff
22b14000	22b142ff
22b14400	22b14e7f
22b14f00	22b17bff
22b20000	22b47fff
22b50000	22b709ff
22b70c00	22b713ff
22b71480	22b715ff
22b71800	22b71dff
22b72000	22b725ff
22b72800	22b72fff
22b73200	22b73dff
22b74200	22b77cff
22b80000	22b809ff
22b80c00	22b813ff
22b81600	22b81bff
22b81e00	22b823ff
22b82800	22b83bff
22b84000	22b87bff
22b94000	22bbffff
22c00000	22ffffff
23120000	2313ffff
231a0000	231fffff
23226000	232269ff
232a0000	232dffff
23300000	2331ffff
23328000	233287ff
23328900	233289ff
23328b00	23328bff
23328d00	233290ff
2332a000	2332a1ff
2332b000	2332b2ff
2332c000	2332c5ff
2332d000	2332d6ff
2332e000	2332e0ff
2332e200	2332f2ff
23340000	2335ffff
23362000	23363eff
23364000	23367fff
23370000	23377fff
23380000	2339ffff
233c0000	233dffff
23474000	23474fff
23475c00	23475eff
23476000	235fffff
23804000	2380bfff
23980000	23bb7fff
23bb9000	23be5fff
23be7000	23beefff
23c00000	23c77fff
23c79000	23c7bfff
23c80000	23c91fff
23c92900	23c929ff
23c94000	23cbbfff
23cbd200	23cbdbff
23cbe800	23cbefff
23cc0000	23cdffff
23ce0a00	23ce0bff
23ce2000	23d9ffff
23db0000	23dbbfff
23dbe000	23dc1bff
23dc1f00	23e4ffff
23e51000	23e6bfff
23e6f000	23eb7fff
23ebac00	23ebafff
23ebd800	23ebdfff
23ec0000	23f21bff
23f21f00	23f30fff
23f32000	23f32fff
23f33800	23f7ffff
23fc0000	23ffffff
2467e800	2467e8bf
2501c000	2501c7ff
2509217a	2509217a
25092182	25092182
250921b8	250921b8
250921c6	250921c6
250921e6	250921e6
250921f0	250921f0
251177d2	251177d4
251b0000	251bffff
252cd800	252cdbff
25304000	25307fff
253a3000	253a3fff
253b0000	253bffff
253c3000	253c3fff
254b9800	254b9fff
25629100	256291ff
256ed1e4	256ed1e4
258b0000	258b1fff
258b8200	258b82ff
259ce00d	259ce00d
259ce00f	259ce00f
25a00000	25a3ffff
25bb0000	25bbffff
25bc6000	25bc7fff
25cb9d00	25cb9dff
25ef9102	25ef9102
262f8000	262f8eff
262f9000	262f92ff
262f9400	262f96ff
262f9800	262f9fff
26647600	266477ff
26689b5c	26689b5d
26b4a500	26b4a6ff
26b4af00	26b4afff
26b4b200	26b4b2ff
26b4b500	26b4b5ff
